route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
3,246103324610332,246103324610332+1899071+1,Grand Central,1213,1,,5,1,1
3,246103324610332,246103324610332+1899087+1,Grand Central,1231,1,,5,1,1
3,246103324610332,246103324610332+1899092+1,Grand Central,1233,1,,5,1,1
3,246103324610332,246103324610332+1899101+0,Grand Central,1239,1,,5,1,0
3,246103324610332,246103324610332+1899106+0,Grand Central,1241,1,,5,1,0
3,246103324610332,246103324610332+1899111+1,Harrison,1244,0,,16,1,1
3,246103324610332,246103324610332+1899116+1,Harrison,1248,0,,16,1,1
3,246103324610332,246103324610332+1899121+1,Harrison,1254,0,,16,1,1
3,246103324610332,246103324610332+1899126+1,New Rochelle,1256,0,,16,1,1
3,246103324610332,246103324610332+1899131+1,Harrison,1260,0,,16,1,1
3,246103324610332,246103324610332+1899136+1,Harrison,1264,0,,16,1,1
3,246103324610332,246103324610332+1899141+1,New Rochelle,1268,0,,16,1,1
3,246103324610332,246103324610332+1899149+1,Harrison,1274,0,,16,1,1
3,246103324610332,246103324610332+1899153+0,Grand Central,1275,1,,5,1,0
3,246103324610332,246103324610332+1899161+0,Grand Central,1299,1,,5,1,0
3,246103324610332,246103324610332+1899173+0,Grand Central,1301,1,,5,1,0
3,246103324610332,246103324610332+1899184+1,Grand Central,1303,1,,5,1,1
3,246103324610332,246103324610332+1899195+1,Grand Central,1305,1,,5,1,1
3,246103324610332,246103324610332+1899201+0,Greenwich,1306,0,,16,1,0
3,246103324610332,246103324610332+1899207+1,Grand Central,1307,1,,5,1,1
3,246103324610332,246103324610332+1899217+1,Grand Central,1309,1,,5,1,1
3,246103324610332,246103324610332+1899223+1,Greenwich,1310,0,,16,1,1
3,246103324610332,246103324610332+1899228+1,Grand Central,1311,1,,5,1,1
3,246103324610332,246103324610332+1899233+1,Stamford,1312,0,,16,1,1
3,246103324610332,246103324610332+1899243+1,Grand Central,1315,1,,5,1,1
3,246103324610332,246103324610332+1899247+0,Stamford,1316,0,,16,1,0
3,246103324610332,246103324610332+1899252+1,Grand Central,1317,1,,5,1,1
3,246103324610332,246103324610332+1899257+0,Stamford,1318,0,,16,1,0
3,246103324610332,246103324610332+1899263+0,Stamford,1320,0,,16,1,0
3,246103324610332,246103324610332+1899269+1,Grand Central,1321,1,,5,1,1
3,246103324610332,246103324610332+1899275+0,Stamford,1322,0,,16,1,0
3,246103324610332,246103324610332+1899281+0,Stamford,1324,0,,16,1,0
3,246103324610332,246103324610332+1899286+1,Grand Central,1325,1,,5,1,1
3,246103324610332,246103324610332+1899291+0,Stamford,1326,0,,16,1,0
3,246103324610332,246103324610332+1899297+1,Grand Central,1327,1,,5,1,1
3,246103324610332,246103324610332+1899302+0,Stamford,1328,0,,16,1,0
3,246103324610332,246103324610332+1899307+0,Stamford,1330,0,,16,1,0
3,246103324610332,246103324610332+1899313+1,Grand Central,1331,1,,5,1,1
3,246103324610332,246103324610332+1899322+1,Grand Central,1333,1,,5,1,1
3,246103324610332,246103324610332+1899327+0,Stamford,1334,0,,16,1,0
3,246103324610332,246103324610332+1899333+1,Grand Central,1335,1,,5,1,1
3,246103324610332,246103324610332+1899339+0,Stamford,1336,0,,16,1,0
3,246103324610332,246103324610332+1899345+0,Stamford,1338,0,,16,1,0
3,246103324610332,246103324610332+1899351+0,Grand Central,1339,1,,5,1,0
3,246103324610332,246103324610332+1899356+0,Stamford,1340,0,,16,1,0
3,246103324610332,246103324610332+1899363+0,Grand Central,1341,1,,5,1,0
3,246103324610332,246103324610332+1899368+0,Stamford,1342,0,,16,1,0
3,246103324610332,246103324610332+1899374+1,Stamford,1346,0,,16,1,1
3,246103324610332,246103324610332+1899380+0,Grand Central,1347,1,,5,1,0
